Id,Timestamp,Device_id,Latitude,Longitude,Altitude,Anomaly,dt,delta_lat,delta_lon,delta_alt,distance_m,speed_m_s,bearing,acceleration,cumulative_distance
15179,2013-08-24 06:18:33+00:00,2,50.0107332,2.2818554,123,1,895.0,2.4999999936881068e-06,2.7999999998584713e-06,-3.0,0.3425066009031728,0.0003826889395566177,35.74488195351061,-3.119650085957538e-05,6972179.472828224
15180,2013-08-24 06:33:30+00:00,2,50.0085495,2.2938152,121,1,897.0,-0.002183699999996236,0.011959800000000076,-2.0,888.4760583183695,0.9904972779469002,105.85587134711885,0.0011038066767082983,6973067.948886543
15193,2013-08-24 10:03:53+00:00,2,50.0370833,2.3045274,195,1,12623.0,0.028533799999998166,0.01071219999999995,74.0,3263.803483766942,0.25856004783070125,13.556713746169292,-5.798441179721136e-05,6976331.75237031
15194,2013-08-24 10:18:49+00:00,2,50.0369289,2.305375,229,1,896.0,-0.0001543999999995549,0.0008476000000001704,34.0,62.922836693094055,0.07022638023782819,105.83360490638555,-0.0002101938254384744,6976394.675207003
15195,2013-08-24 10:33:46+00:00,2,50.036743,2.3058076,226,1,897.0,-0.00018589999999818474,0.0004325999999998942,-3.0,37.173582565193755,0.04144212103143116,123.7843218954437,-3.208947514648499e-05,6976431.848789568
15196,2013-08-24 10:49:08+00:00,2,50.036616,2.3067187,132,1,922.0,-0.00012699999999910005,0.0009110999999997205,-94.0,66.58565094527424,0.07221871035279201,102.2441627825313,3.338024872164951e-05,6976498.434440513
15197,2013-08-24 11:04:10+00:00,2,50.0345752,2.3064639,121,1,902.0,-0.0020408000000031734,-0.00025479999999999947,-11.0,227.6551377313848,0.25238928795053744,-175.41490662431596,0.00019974565143874218,6976726.089578245
15198,2013-08-24 11:19:06+00:00,2,50.0344557,2.3056238,134,1,896.0,-0.00011949999999671945,-0.0008401000000000103,13.0,61.45649479091415,0.06858983793628812,-102.4864752203322,-0.00020513331474804612,6976787.546073035
15199,2013-08-24 11:34:04+00:00,2,50.0349168,2.3053303,129,1,898.0,0.00046109999999544016,-0.00029349999999972454,-5.0,55.39179046480472,0.061683508312700135,-22.237222418690035,-7.690790226712675e-06,6976842.937863501
15200,2013-08-24 11:50:09+00:00,2,50.027265,2.3172141,205,1,965.0,-0.007651799999997877,0.011883800000000111,76.0,1201.858353176532,1.245449070649256,135.06284744729408,0.0012267000645974674,6978044.796216677
15201,2013-08-24 12:05:17+00:00,2,50.0288158,2.3505584,122,1,908.0,0.0015507999999968547,0.03334429999999999,-83.0,2388.118158669173,2.630086077829486,85.84640941417838,0.0015249306246478303,6980432.914375346
15202,2013-08-24 12:20:38+00:00,2,50.0287978,2.3505821,130,1,921.0,-1.7999999997186933e-05,2.3699999999848842e-05,8.0,2.621462997516197,0.002846322472873178,139.77445401662888,-0.0028525947398008824,6980435.535838344
15203,2013-08-24 12:35:57+00:00,2,50.0265139,2.3577938,152,1,919.0,-0.0022839000000018927,0.007211700000000043,22.0,574.3536739394103,0.6249767942757457,116.23922390087128,0.0006769646047909385,6981009.889512283
15204,2013-08-24 12:50:52+00:00,2,50.0258711,2.359717,133,1,895.0,-0.0006427999999942813,0.0019231999999997917,-19.0,154.86622599850153,0.1730348893838006,117.48543041562735,-0.000504963022225637,6981164.755738282
15205,2013-08-24 13:05:47+00:00,2,50.0257232,2.3599185,129,1,895.0,-0.00014790000000175496,0.00020150000000018764,-4.0,21.85546956640414,0.024419519068607978,138.80529012611294,-0.00016605069308960068,6981186.611207848
15206,2013-08-24 13:21:08+00:00,2,50.0257665,2.3597756,135,1,921.0,4.3300000001522676e-05,-0.0001429000000001679,6.0,11.286737532507427,0.01225487245657701,-64.74898594967073,-1.3208085355082483e-05,6981197.897945381
15207,2013-08-24 13:38:47+00:00,2,50.057422,2.3254142,215,1,1059.0,0.03165549999999939,-0.034361399999999875,80.0,4290.836007016364,4.051780932026785,-34.8683035488279,0.00381447219978301,6985488.733952397
15208,2013-08-24 13:54:00+00:00,2,50.0656284,2.306107,147,1,913.0,0.008206399999998837,-0.01930720000000008,-68.0,1652.917789377348,1.8104247419248063,-56.48413559935525,-0.0024549355860919806,6987141.651741775
15209,2013-08-24 14:09:39+00:00,2,50.0847211,2.2803167,161,1,939.0,0.019092700000001628,-0.02579029999999971,14.0,2809.716898435051,2.9922437683014387,-40.91262171694256,0.0012585932123286819,6989951.36864021
